#separator:Semicolon
#html:false
#deck column:
#columns:Front;Back
nom;der Name-n
supérieur hiérarchique;der Vorgesetzter--, die Vorgesetzte--
éditer, travailler sur quelquechose;bearbeiten
employer, embaucher;ein-stellen
virer, renvoyer;entlassen (ä-ie-a)
faire un petit boulot, travailler;jobben
mettre en congé maladie (note écrite par le dr);krank-schreiben (ie-ie)
se déclarer en congé maladie;sich krank-melden
gagner de l’argent (en travaillant), mériter (tr.);verdienen
employé, actif, ayant un travail;berufstätig
spécialiste, expert;der Fachmann-″er, die Fachfrau-en, (pl.) Fachleute
carrière (professionnelle);die Karriere-n
projet;das Projekt-s
industrieux;fleißig
soigneux, minutieux;sorgfällig
paraisseux;faul
vacance;der Urlaub-e
temps libre;die Freizeit-en
intérêt;das Interesse-n an+D
faire du sport;Sport treiben (ie-ie)
sport;der Sport-e
yoga;das Yoga
radio;das Radio-s
télé;der Fernseher-
regarder la télé;fern-sehen (ie-a-e)
lecture;die Lektüre-n
jouet;das Spielzeug-e
tricher (jeu);schummeln
amusement, divertissement;die Unterhaltung-en
excursion;der Ausflug-″e
jeu de société;das Brettspiel-e
livre;das Buch-″er
jeu vidéo;das Computerspiel-e
vélo;das Fahrrad-″er
nager;schwimmen (a-o)
piscine (extérieur);das Freibad-″er
piscine (intérieur);das Schwimmbad-″er
FKK;die Freikörperkultur-en
football;der Fußball-″e
guitare;die Gitarre-n
violon;die Geige-n
handball;der Handball-″e
intrument de musique;das Instrument-s
carte (à jouer);die Spielkarte-n
cinéma;das Kino-s
lire;lesen (ie-a-e)
entrée, admission (exposition, concert...);der Eintritt-e
musique;die Musik-en
piano;das Piano-s
aller se promener;spazieren gehen
promenade;der Spaziergang-″e
jouer;spielen
streaming;das Streaming-s
tennis;das Tennis
dé;der Würfel-
congés et jours fériés, vacances (temps);(pl.) Ferien
fête;das Fest-e
fêter;feiern
temps;die Zeit-en
constant;stetig
à chaque fois;jeweils
en même temps, simultané (adj.);gleichzeitig
ultérieur, à postériori;nachträglich
entre temps, depuis lors;inzwischen
fois (point dans le temps);das Mal-e
aujourd'hui;heute
avant-hier;vorgestern
régulier (dans le temps);regelmäßig
ponctuel;pünktlich
immédiatement;sofort
abrupt, soudain;plötzlich
d'aujourd'hui (=maintenant, ce jour);heutig
actuel (d'aujourd'hui);heutig
de l'époque;damalig
d'avance;im Voraus
finalement;schließlich
calendrier (système);der Kalender-
calendrier (document);der Kalender-
heure (durée);die Stunde-n
heure (horloge);die Uhr-en
seconde;die Sekunde-n
évènement;das Ereignis-se
suivant, prochain;nächst
minute;die Minute-n
jour;der Tag-e
semaine;die Woche-n
mois;der Monat-e
année;das Jahr-e
jour de la semaine;der Wochentag-e
lundi;der Montag-e
mardi;der Dienstag-e
mercredi;der Mittwoch-e
jeudi;der Donnerstag-e
vendredi;der Freitag-e
samedi;der Samstag-e
dimanche;der Sonntag-e
soir;der Abend-e
matin;der Morgen-
démarrer (processus de commencement);starten
commencer;beginnen (a-o), an-fangen (ä-i-a)
s’arrêter;enden
passer du temps;verbringen (ach-ach)
midi;der Mittag-e
après-midi;der Nachmittag-e
fin de semaine;das Wochenende-n
demain;morgen
hier;gestern
après demain;übermorgen
nuit;die Nacht-″er
janvier;der Januar-e
février;der Februar-e
mars;der März-e
avril;der April-e
mai;der Mai-e
juin;der Juni-s
juillet;der Juli-s
aout;der August-e
septembre;der September-
octobre;der Oktober-
novembre;der November-
décembre;der Dezember-
printemps;der Frühling-e
automne;der Herbst-e
durer;dauern
intervalle de temps;der Zeitraum-″e
saison;die Jahreszeit-en
hivers;der Winter-
été;der Sommer-
délai, terme;die Frist-en
passé (temps);die Vergangenheit-en
futur (temps);die Zukunft-″e
présent (temps);die Gegenwart
éternel;ewig
éternité;die Ewigkeit-en
temporaire;zeitweilig
à nouveau;wieder
permanent;ständig
constamment;stets
avoir lieu (de façon organisée);statt-finden (a-u)
se passer, avoir lieu;geschehen (ie-a-e), sich ereignen
arriver, survenir, se produire (inattendu);vor-kommen (a-o)
se passer (quelquechose d'involontaire ou de déplaisant, etc.);passieren
actuel;aktuell
dernier;letzt
ancien, précédent;ehemalig
reporter (à plus tard);verschieben (o-o)
avoir le temps;Zeit haben
unité de mesure;die Einheit-en, das Maß-e
mesure (processus);die Vermessung-en
mètre;der Meter-
longueur mesurée;die Länge-n
température;die Temperatur-en
degré (centigrade);der Grad-e
thermomètre;das Thermometer-
poid;das Gewicht-e
peser;wiegen (o-o)
centimètre;das/der Zentimeter-
mètre carré;das/der Quadratmeter-
moins (degré négatif);minus
plus (addition);plus
pour cent;das Prozent-e
litre;der Liter-
gramme;das Gramm-e
kilogramme;das Kilogramm-e
pays;das Land-″er
carte (géo);die Karte-n, die Landkarte-n
mer;das Meer-e
lac;der See-n
étang, mare;der Teich-e
océan;der Ozean-e
frontière;die Grenze-n
continent;der Kontinent-e
rive, bord;das Ufer-
région;das Gebiet-e
Europe;das Europa
Asie;das Asien
île;die Insel-n
Afrique;das Afrika
Océanie;das Ozeanien
Amérique;das Amerika-
Amérique du Nord;das Nordamerika
Amérique du Sud;das Südamerika
européen;europäisch
Nord;der Nord
Sud;der Süd
Est;der Ost
Ouest;der West
côte (littoral);die Küste-n
couleur;die Farbe-n
blanc;weiß
monochromatique;monochromatisch
noir;schwarz
voilet;lila
pâle;blass
rose (couleur);rosa
rouge;rot
orange (adj.);orange
jaune;gelb
vert;grün
cyan (nom);das Cyan
bleu;blau
transparent;durchsichtig
gris;grau
brun;braun
sombre;dunkel
clair;hell
personne;die Person-en
gens;(pl.) Leute
seul;allein
personne, humain;der Mensch-en
ensemble;zusammen
jumeau;der Zwilling-e
enfant;das Kind-er
adulte;der Erwachsener--, die Erwachsenere--
vieux;alt
jeune;jung
type, mec;der Kerl-e
femme;die Frau-en
s'occuper, prendre soin;sich kümmern (um), sorgen (für)
homme;der Mann-″er
garçon;der Junge-n
fille (jeune personne du sexe féminin);das Mädchen-
enfance;die Kindheit-en
durant mon enfance;in meiner Kindheit
famille;die Familie-n
bébé;das Baby-s
frère;der Bruder-″
cousin;der Cousin-s
cousine;die Cousine-n
épouse;die Ehefrau-en, die Gattin-nen
époux;der Ehemann-″er, der Gatte-n
parents;(pl.) Eltern
élever (enfants);erziehen
petit-fils;der Enkel-
petite-fille;die Enkelin-nen
fils;der Sohn-″e
fille (descendante directe);die Tochter-″
hériter;erben
frère ou soeur;das Geschwister-
séparé (mariage);getrennt
mariage;die Ehe-n
célibataire;ledig
dans une relation (en couple);in einer Beziegung
mère;die Mutter-″
grand-mère;die Oma-s
grand-père;der Opa-s
enceinte;schwanger
soeur;die Schwester-n
tante;die Tante-n
père;der Vater-″
oncle;der Onkel-
se marier;verheiraten
marié;verheiratet (mit)
parent, apparenté;der Verwandter, die Verwandte
allergie;die Allergie-n
cellule;die Zelle-n
assurance maladie;die Krankenversicherung-en
virus;das Virus-/en
circulation (sanguine);der Kreislauf
faible;schwach
bactérie;die Bakterie-n
toucher, affecter;betreffen (+A) (i-a-o)
pharmacie;die Apotheke-n
se reposer;sich aus-ruhen
pharmacien;der Apother-, die Apothekerin-nen
docteur (méd.);der Arzt-″e, die Ärztin-nen
respirer;atmen
sang;das Blut-e
saigner;bluten
attraper (maladie);ein-fangen (ä-i-a)
rhume;die Erkältung-en
urgence (méd.);der Notfall-″e
pansement;das Heftpflaster-, das Pflaster-
soins (care);die Pflege
traiter (soigner);behandeln
traitement;die Behandlung-en
médicamment;das Medikament-e
poul;der Puls-e
fumer;rauchen
désinfecter;desinfizieren
douleur;der Schmerz-en
faire mal;schmerzen, weh tun (a-a)
accident;der Unfall-″e
bandage;der Verband-″e
blessé;verletzt
blessure;die Wunde-n
dentiste;der Zahnarzt-″e, die Zahnärztin-nen
alimentation;die Ernährung-en
grippe;die Grippe-n
toux;der Husten-
certificat de maladie;der Krankenschein-e
infirmier;der Krankenpfleger-, die Krankenpflegerin-nen
médecine;die Medizin-en
appel d’urgence (112);der Notruf-e
notice (de médicament);die Packungsbeilage-n
patient (de docteur);der Patient-en, die Patientin-nen
cabinet de médecin;die Praxis-/en
prescription;das Rezept-e
pommade;die Salbe-n
faim;der Hunger
rassasié;satt
soif;der Durst
avoir faim;Hunger haben
avoir soif;Durst haben
rhume;der Schnupfen-
examen (médical);die Untersuchung-en
perdre du poids;ab-nehmen (im-ah-om)
prendre un médicament;ein-nehmen (im-ah-om)
guérir;heilen
tousser;husten
opérer (méd.);operieren
soigner, prendre soin;pflegen
examiner (méd.);untersuchen
prescrire (méd.);verschreiben (ie-ie)
prendre du poid;zu-nehmen (im-ah-om)
sain, en forme;gesund
santé;die Gesundheit
canne;der Stock-″e
dormir;schlafen (ä-ie-a)
s'endormir;ein-schlafen (ä-ie-a) (sein)
réveiller (tr.);wecken, auf-wecken
se réveiller;auf-wachen
éveillé;wach
bruit (nuisance);der Lärm
malade;krank
vacciner;imfpen
maladie;die Krankheit-en
comprimé, caché;die Tablette-n
diarrhée;der Durchfall-″e
vomir;(sich) erbrechen (i-a-o)
cheveu, poil;das Haar-e
uriner;urinieren
boucle de cheveux;die Locke-n
esprit;der Geist-er
cheveu (coiffe);das Haar-e
long (cheveux);lang
court (cheveux);kurz
mordre;beißen (i-i)
blond;blond
brun, noir (couleur de cheveux);dunkel
brun (couleur de cheveux);braun
jambe;das Bein-e
cou;der Hals-″e
doigt;der Finger-
pied;der Fuß-″e
hanche;die Hüfte-n
membre (partie du corps);das Glied-er
tête;der Kopf-″e
mince (adj.);schlank
orteil;der Zeh-en
visage;das Gesicht-er
ongle;der Nagel-″
main;die Hand-″e
pouce;der Daumen-
poing;die Faust-″e
oreille;das Ohr-en
bouche;der Mund-″er
dent;der Zahn-″e
langue (bouche);die Zunge-n
nez;die Nase-n
narine;das Nasenloch-″er
joue;die Wange-n
lèvre;die Lippe-n
oeil;das Auge-n
sourcil;die Augenbraue-n
cil;die Wimper-n
tempe;die Schläfe-n
machoîre;der Kiefer-
front (visage);die Stirn-en
menton;das Kinn-e
frange;die Franse-n
poignet;das Handgelenk-e
cheville;der Enkel-
genou;das Knie-e
coude;der Ellbogen-
ventre;der Bauch-″e
estomac;der Magen-″
dos;der Rücken-
poitrine;die Brust-″e
nuque;der Nacken-
épaule;die Schulter-n
coeur;das Herz-en
foie;die Leber-n
intestin;der Darm-″e
poumon;die Lunge-n
rein;die Niere-n
gorge;die Kehle-n
voix (sons produit par les cordes vocales);die Stimme-n
cerveau;das Gehirn-e
peau;die Haut-″e
corps;der Körper-
rapport sexuel;der Geschlechtsverkehr
organe (partir du corps ayant une fonction spécifique);das Organ-e
organe sexuel;das Geschlechtsorgan-e
vulve;das weibliche-- Geschlechtsorgan-e
vagin;die Vagina-/en
clitoris;der Kitzler-
testicule;der Hoden-
veine (vaisseau sanguin);die Vene-n
penis;der Penis-se
séant, derrière;das Gesäß-e
sur les genoux;auf dem Schoß
exténuant;anstrengend
fort (costaud);kräftig
force;die Kraft-″e
nu;nackt
cadavre;die Leiche-n
os (élément & matériau);der Knochen-
squelette;das Skelett-e
crâne;der Schädel-
adn;die DNS
gène (adn);das Gen-e
muscle;der Muskel-n
odeur;der Geruch-″e
symétrique;symmetrisch
imprécis, flou;unscharf
percevoir, discerner;wahr-nehmen (im-ah-om)
point de vue;der Punkt-e der Sicht
visible;sichtbar
parfum;das Parfüm-s
sonner, retentir;klingen
silence;die Stille
bruit;das Geräusch-e
fort (pour le son), bruyant;laut
de faible intensité sonore;leise
calme, sans bruit;ruhig
percevoir un goût;schmecken
avoir un goût;schmecken
sens (perception);der Sinn-e
avoir un bon goût (saveur, intr.);schmecken
goût (saveur);der Geschmack-″er
délicieux;lecker
odorat;der Geruch-″e
doux, tendre;sanft
mou, mouelleux, doux;weich
délicat, tendre;zart
dur;hart
rêver;träumen
rêve;der Traum-″e
cauchemar;der Albtraum-″e
regarder (=diriger le regard);blicken
regarder;an-schauen, an-sehen (ie-a-e)
voir, regarder dans une direction;schauen
examiner, analyser;betrachten
regarder, contempler;betrachten
observer;beobachten
regard;der Blick-e
vue, panomara;der Ausblick-e
voir;sehen (ie-a-e)
montrer;zeigen
entendre;hören
écouter;zu-hören
sentir (percevoir odeur);riechen (+A) (o-o)
sentir (émettre odeur);riechen (adv./nach) (o-o)
puer;stinken (a-u)
ressentir (sens);spüren, fühlen
trace;die Spur-en
pressentir;ahnen
ville;die Stadt-″e
rue;die Straße-n
intersection, croisement;die Kreuzung-en
village;das Dorf-″er
bâtir, construire;bauen
à la campagne;auf dem Land
ruelle;die Gasse-n
maire;der Bürgermeister-, die Bürgermeisterin-nen
église;die Kirche-n
pond;die Brücke-n
chemin;der Weg-e
sentier;der Pfad-e
puit, fontaine;der Brunnen-
gymnase;die Turnhalle-n
studio de fitness;das Fitnessstudio-s
boulangerie;die Bäckerei-en
supermarché;der Supermarkt-″e
marché;der Markt-″e
place;der Platz-″e
mosquée;die Moschee-n
tour (bâtiment);der Turm-″e
bâtiment;das Gebäude-
champs (agricole);das Feld-er
verger;der Obstgarten-″
pré;die Wiese-n
centreville;das Stadtzentrum-/en
château;das Schloss-″er
monument;das Denkmal-e
temple;der Tempel-
colonne (pilier cylindrique);die Säule-n
cimetière;der Friedhof-″e
tombe;das Grab-″er
fossé;der Graben-″
immeuble d'habitations;das Mehrfamilienhaus-″er
arche;der Bogen-″
statue;die Statue-n
voisin (habitant);der Nachbar-n, die Nachbarin-nen
début;der Anfang-″
juste, petit, rien que (adj.);knapp
couple, paire;das Paar-e
groupe;die Gruppe-n
plat, uni, egal;eben
horizontal;waagerecht
dépasser;überschreiten (itt-itt)
passer en dessous;unterschreiten (itt-itt)
vertical;senkrecht
plat (adj.);flach
long;lang
court (adj.);kurz
part, partie;der Teil-e
partie, pièce (indépendante d'un tout);das Teil-e
fin (terminaison);das Ende-n
fini, limité;endlich
structure;die Struktur-en
restant (surnuméraire);übrig
limité;begrenzt
chose;das Ding-e, die Sache-n
dans l’ensemble;insgesamt
tube;das Rohr-e
point;der Punkt-e
petit;klein
vide;leer
plein;voll
étroit, mince;schmal
grand;groß
énorme;riesig
proportionnel;proportional (zu/+D)
contraire, inverse (adj.);umgekehrt
inversement proportionnel;umgekehrt proportional
quantité;die Menge-n
au minimum;mindestens, zumindest, minimal
minimal;minimal
maximal;maximal
au maximum;höchstens, maximal
supplémentaire;zusätzlich
beaucoup;viel
bas (opposé de haut);niedrig
cercle;der Kreis-e
bulle;die Blase-n
tranche, rondelle;die Scheibe-n
rond (adj.);rund
boucle;die Schlinge-n
rebord;der Rand-″er
lourd;schwer
léger;leicht
épais;dick
dehors;draußen
dedans;drinnen, drin
moyenne (statistique);der Durchschnitt-e
fin, ténu;dünn
diamètre;der Durchmesser-
se dilater;sich aus-dehnen
étendre, s'étendre (élastique);dehnen
moyen (median);durchschnittlich
étroit, serré;eng
surface (objet);die Fläche-n
surface (haut);die Oberfläche-n
lisse, poli;glatt
nombre;die Zahl-en
entier (adj., nombre sans fraction);ganzzahlig
entier, tout entier;ganz
multiple (adj.);vielfach
aire (nombre);der Flächeninhalt-e
volume, espace;der Raum-″e
augmenter (intr.);zu-nehmen (im-ah-om) (haben)
augmenter, accroitre (tr.);steigern
volume (nombre);der Rauminhalt-e, das Volumen-
boule;die Kugel-n
approximatif;ungefähr
environ;etwa
trou;das Loch-″er
coin;die Ecke-n
carré;das Quadrat-e
triangle;das Dreieck-e
rectangle;das Rechteck-e
courbé, tordu;krumm
ligne (géométrique);die Linie-n
rangée;die Reihe-n
coté;die Seite-n
objet;der Gegenstand-″e
se trouver;sich finden (a-u)
état;der Zustand-″e
distance;der Abstand-″e
endroit, lieu;die Stelle-n
endroit, lieu;der Ort-e
position;die Stellung-en
situation (spatiale, abstraite);die Lage-n
couche (surface);die Lage-n
reste;der Rest-e
longueur;die Länge-n
largeur;die Breite-n
large;breit
haut;hoch
hauteur;die Höhe-n
épaisseur;die Dicke-n
zone;die Zone-n
bout, pièce;das Stück-e
assez;genug
suffisant;reichend
changer (soi);sich verändern
perdre;verlieren (o-o)
propriété (aspect propre);die Eigenschaft-en
provenir;stammen (von/aus)
général (commun);allgemein
tendance;die Tendenz-en
unité;die Einheit-en
croître, grandir;wachsen (ä-u-a)
adapter;an-passen
s'adapter;sich an-passen (+D)
appartenir;gehören (+D)
changer (transitif);ändern, verändern
condition (prerequis, termes, ...);die Bedingung-en
devenir;werden (i-u-o)
le même (adj.);nämlich
échanger, transformer, convertir;tauschen
résultat;das Ergebnis-se
propre, personnel, inhérent;eigen
individuel, unique;einzeln
remplacer;ersetzen
correspondre (identité);entsprechen (i-a-o)
unique, seul (seulement);einzig
sembler;scheinen (ie-ie)
contenir;enthalten (ä-ie-a)
contraire (nom);das Gegenteil-e
ressembler;ähneln
consister en;bestehen (aus) (and-and)
différer;ab-weichen (i-i)
différent;verschieden
similaire;ähnlich
identique;gleich
sorte;die Art-en
sorte, espèce;die Sorte-n
certain, définit;bestimmt
pareil;gleichartig
différence;der Unterschied-e
développement, évolution;die Entwicklung-en
naturel, normal;natürlich
authentique, véritable;echt
casser;brechen (i-a-o), zerbrechen (i-a-o)
démonter;demontieren
déchirer;reißen (i-i)
cassé;kaputt
exister;bestehen (and-and), existieren
énergie;die Energie-n
électricité, courant;der Strom-″e
barrage;die Talsperre-n
panneau solaire;das Solarmodul-e
énergie solaire;die Solarenergie-n
éolienne;das Windrad-″er
énergie renouvellable;die erneuerbare Energie
fuel;der Brennstoff-e
changement climatique;der Klimawandel-
compteur (gas, élect...);der Stromzähler-, der Gaszähler-
consommation (courant);der Verbrauch-″e
lumière;das Licht-er
rayonner;strahlen
brûler (être en feu);brennen (a-a)
brûler (transitif);brennen (a-a)
incinérer;verbrennen (a-a)
lever;heben (o-o)
lâche, dénoué;locker
superposer;überlägern
courber (diffracter);beugen
éparpiller, diffuser;streuen
rigide;steif
recouvrir;bedecken (+A, mit)
forme;die Form-en
creuser;graben (ä-u-a)
plier;zusammen-legen
ouvrir;öffnen
pointu, tranchant;scharf
fort, puissant, intensif;stark
déplacer en poussant;verschieben (o-o)
fermer;schließen (o-o), zu machen
pousser;stoßen (ö-ie-o)
mouvement;die Bewegung-en
se balancer, osciller;schwingen (a-u)
tirer;ziehen (og-og)
appuyer, presser;drücken
étendre sur une surface, augmenter la surface occupée;aus-breiten
pas (marche);der Schritt-e
limite;die Grenze-n
accrocher, suspendre;auf-hängen
jeter, lancer;werfen (i-a-o)
tenir;halten (ä-ie-a)
laisser tomber (sur le sol);fallen lassen (ä-ie-a)
tomber;fallen (ä-ie-a)
chute (fait de tomber);der Fall-″e
sauter;springen (a-u)
attraper, agripper;greifen (if-if)
attraper (en vol), capturer;fangen (ä-i-a)
se lever;auf-stehen (and-and)
s’assoir;sich setzen
se coucher;sich legen
couper;schneiden (itt-itt)
grimper;klettern
monter, escalader;steigen (ie-ie)
décoller;vom Boden ab-heben (o-o)
coller;kleben
bouger (transitif ou réflexif);(sich) bewegen
toucher;berühren, an-fassen
aller à pied, marcher;laufen (äu-ie-au)
aller;gehen (ing-ang)
l'entrée (le fait d'entrer);der Eintritt-e
marcher (sur), faire des pas;treten (it-a-e)
courrir;rennen (a-a)
étirer/s'étirer;strecken
mettre sous tension, être tendu/étendu, s'étendre (statique);spannen
pendre;hängen
prendre;nehmen (im-ah-om)
s’écouler (liquide);fließen (o-o)
couler (sombrer);sinken (a-u)
rabaisser;senken
fondre;schmelzen (o-o)
mélanger;mischen
tourner (autour);sich drehen (um+A)
tourner (qqchose);drehen
tourner (prendre un virage);ab-biegen (o-o)
traverser;über-queren
traverser une étendue d'eau;über-setzen
transmettre;übertragen (ä-u-a)
diriger, mettre/tourner dans une direction, guider;lenken
vitesse;die Geschwindigkeit-en
accélération;die Beschleudigung-en
freiner;bremsen
frein;die Bremse-n
onde;die Welle-n
puissance (énergie/temps);die Leistung-en
force (Newton);die Kraft-″e
pression (litérale & figurative);der Druck-″e
accélérer;beschleudigen
rapide;schnell
lent;langsam
voyager à pied;wandern
retard;die Verspätung-en
disparaître;verschwinden (a-u)
aspirer (air);saugen
verser (arroser);gießen (o-o)
direction;die Richtung-en
atteindre;erreichen
urger, devoir être accompli rapidement;eilen (haben)
se dépêcher de faire quelquechose, faire vite;sich beeilen (haben)
se dépêcher d'aller quelquepart;sich eilen (sein)
limiter, restreindre;beschränken
bloquer;sperren
isoler;trennen
fendre, séparer;spalten
suivre;folgen (+D)
succéder (un évènement, une personne);nach-folgen (+D) (sein)
aller, conduire;fahren (ä-u-a)
poursuivre, suivre (une personne), suivre (avec attention);verfolgen
quitter, abandonner;verlassen (ä-ie-a)
lointain, distant;fern
loin, large;weit
continuer (reprendre);weiter-machen, fort-fahren (ä-u-a)
percuter;auf-prallen
image;das Bild-er
photo;das Foto-s
photographier;fotografieren
média;das Massmedium-/en
film (cinématographique);der Film-e
vidéo (clip);das Video-s
enregistrer (média);auf-zeichnen
enregistrement (résultat);die Aufnahme-n
chanson;das Lied-er
chanter;singen (a-u)
parole (de musique);der Text-e
partition (musique);die Partitur-en
script (film);das Drehbuch-″er
synopsis;die Synopsis-/en
histoire (récit);die Geschichte-n
dessiner;zeichnen
écrire;schreiben (ie-ie)
composer (un morceau de musique);komponieren
théâtre (performance et bâtiment);das Theater-
scène (théâtre);die Bühne-n
pièce de théâtre;das Bühnenstück-e
poésie (art);die Dichtung-en
poème;das Gedicht-e
litérature;die Belletristik
acteur;der Schauspieler-, die Schauspielerin-nen
présentateur, hôte (show);der Moderator-en, die Moderatorin-nen
compositeur;der Komponist-en, die Komponistin-nen
musicien;der Musiker-, die Musikerin-nen
note (de musique);die Note-n
cinéaste;der Filmemacher-, die Filmemacherin-nen
peinture (activité);die Malerei-en
peintre;der Maler-, die Malerin-nen
peindre;malen
peinture, teinte (substance);die Farbe-n
peinture (image);das Gemälde-
art;die Kunst-″e
pinceau;der Pinsel-
corde (d'un instrument de musique);die Saite-n
moderne;modern
démodé, vieilli;altmodisch
cuire au four;backen (ä-u-a)
frire;braten (ä-ie-a)
cuisiner;kochen
congeler;ein-frieren (o-o)
bouilloire électrique;der Wasserkocher-
amer;bitter
sec;trocken
humide;feucht
plat (à manger);das Gericht-e
sécher;trocknen
réduire en poudre, moudre;mahlen (gemahlen)
réduire en morceaux, moudre grossièrement (céréales);schroten
mouiller;nass machen
mouillé;nass
détergent;das Spülmittel-
éponge (absorbante);der Schwamm-″e
robinet;der WasserHahn-″e, der Hahn-″e
pâte (eg farine + liquide + ingrédients);der Teig-e
fourchette;die Gabel-n
couteau;das Messer-
cuillère;der Löffel-
petite cuillère;der Teelöffel-
plat (assiette);der Teller-
assiette;der Teller-
plat, bol, saladier;die Schüssel-n
bol, bassin;die Schale-n
coquille;die Schale-n
tasse, coupe;die Tasse-n
casserole;der Topf-″e
passoire;das Sieb-e
poelle à frire;die Pfanne-n
couvercle;der Deckel-
spatule;der Pfannewender-
spatule en silicone;der Teigschaber-
bouillir (être en ébullition);sieden
(faire) bouillir;sieden
remuer (cuisine);um-rühren
fouet (cuisine);der Schneebesen-
tablier;die Schürze-n
louche;der Schöpflöffel-
carafe, bouteille d'eau;die Wasserflasche-n
verre (récipient);das Glas-″er
récipient;der Behälter-
verre doseur;der Messbecher-
boite;die Schachtel-n, die Dose-n
petit récipient, bocal;das Gefäß-e
gourde;die Feldflasche-n
mixeur;der Mixer-
papier toilette;das Klopapier
lavabo;das Waschbecken-
douche;die Dusche-n
baignoire;die Badewanne-n
serviette (douche);das Handtuch-″er
brosse;die Bürste-n
balai;der Besen-
dentifrice;die Zahnpasta-/en
brosse à dent;die Zahnbürste-n
crème solaire;die Sonnencreme-s
prendre une douche;(sich) duschen
se laver;sich waschen (ä-u-a)
pur, propre, sans mélange;rein
se brosser les dents;sich die Zähne putzen
nettoyer;reinigen
laver;waschen (ä-u-a)
nettoyer, brosser;putzen
savon;die Seife-n
shampooing;das Haarwaschmittel-
crème;die Creme-n
propre;sauber
sale;schmutzig
mâcher;kauen
cracher;spucken
société;die Gesellschaft-en
social;sozial
liberté;die Freiheit-en
commun, collectif;gemeinsam
luxe;der Luxus
poli (courtois);höflich
fonder;gründen
monnaie (d’un pays);die Währung-en
guerre;der Krieg-e
paix;der Frieden
économie;die Wirtschaft-en
histoire (passé);die Geschichte-n
croque-mort;der Bestatter-, die Bestatterin-nen
date;das Datum-/en
valeur (idéogie);der Wert-e
parti (politique);die Partei-en
voter;ab-stimmen
impôt, taxe;die Steuer-n
habitant (de ville, pays…);der Einwohner-, die Einwohnerin-nen
administration, gestion;die Verwaltung-en
pouvoir, puissance;die Macht-″e
drapeau;die Fahne-n
constitution (document légal);die Verfassung-en
ordre (opposé du désordre);die Ordnung-en
loi;das Gesetz-e
public;öffentlich
parlement;das Parlament-e
ministère;das Ministerium-/en
land (état fédéré);das Bundesland-″er
conseil fédéral;der Bundesrat-″e
république fédérale;die Bundesrepublik-en
chambre des députés;der Bundestag
tuer;töten
menacer;drohen
mourir;sterben (i-a-o)
assassiner;ermorden
tirer (jeter un projectile);schießen (o-o)
noyer (verbe);ertränken
se noyer;ertrinken (a-u)
fraude, triche, escroquerie;der Betrug-″e
poison, venin;das Gift-e
meurtrier (personne qui a commis un meurtre);der Mörder-, die Mörderin-nen
crime;die Straftat-en
criminel (personne qui a commis un crime);der Verbrecher-, die Verbrecherin-nen
réincarnation;die Wiedergeburt-en
nuire;schaden
détruire;zerstören
anéantir;vernichten
voler (prendre);stehlen (ie-a-o)
voleur;der Dieb-e, die Diebin-nen
légal;gesetzlich
interdire;verbieten (+A +D) (o-o)
paradis;der Himmel-
enquêter;ermitteln
procès;der Prozess-e
jugement;das Urteil-e
juge;der Richter-, die Richterin-nen
frapper, taper;schlagen (ä-u-a)
punir;strafen
tribunal;das Gericht-e
dieu;der Gott-″er
avocat (droit);der Rechtsanwalt-″e, die Rechtsanwältin-nen
témoin;der Zeuge-n, die Zeugin-nen
protection;der Schutz-e
protéger;schützen
déesse;die Göttin-nen
témoignage;das Zeugnis-se
enfer;die Hölle-n
âme;die Seele-n
héros;der Held-en, die Heldin-nen
malfaisant;böse
mauvais;übel
libre;frei
ennemi (nom);der Feind-e, die Feindin-nen
impardonnable;unverzeihlich
pardonner;verzeihen (+A+D) (ie-ie)
prison;das Gefängnis-se
arrêter, appréhender;fest-nehmen (im-ah-om)
sécurité;die Sicherheit-en
sorcière;die Hexe-n
magie;der Zauber
atelier (de travail);die Werkstatt-″e
écran (surface de protection);der Schirm-e
outil;das Werkzeug-e
grille;das Gitter-
planche;das Brett-er
planche épaisse;die Planke-n
seau;der Eimer-
tuyau;der Schlauch-″e
ferme, solide;fest
règle (instrument);das Lineal-e
marteau;der Hammer-
pile, batterie;die Batterie-n
batterie, accu;der Akku-s
tamis;das Sieb-e
vis (attache);die Schraube-n
clou;der Nagel-″
lame;die Klinge-n
connecter, mettre en contact;verbinden (a-u)
visser;schrauben
pointe (bout);die Spitze-n
tournevis;der Schraubenzieher-
pince (pour fixer, pince à linge);die Klammer-n
pince;die Zange-n
ciseaux;die Schere-n
mètre (pour mesurer);das Metermaß-e
balance (pour mesurer);die Waage-n
échelle (pour monter);die Leiter-n
cable;das Seil-e
corde;die Schnur-″e
bâton;der Stock-″e
tige;die Stange-n
attacher, fixer;befestigen, fest-machen
nouer;knoten
lacer, ficeler;schnüren
noeud;der Knoten-
fil de métal;der Draht-″e
souder;schweißen
lacet;der Schnürsenkel-
fil (à coudre);der Faden-″
fibre;die Faser-n
aiguille;die Nadel-n
tissu;der Stoff-e
lentille (optique);die Linse-n
sel;das Salz-e
sucré;süß
poivre;der Pfeffer-
crème;die Sahne
huile;das Öl-e
huile d’olive;das Olivenöl-e
olive;die Olive-n
patate douce;die Süßkartoffel-n
huile de tournesol;das Sonnenblumenöl-e
